=== SERIAL MONITOR START port=COM5 baud=115200 time=2026-05-20T19:39:23.9054009+09:00 ===
[19:39:25.132] ??x?????x?c??????x?c?_???x?c?x?g?\?????o???x?c???zo???g???Y?????????????????Y??Y???c???x?????h???x?x?o?o?????????x?????^????????o???z?o????????????/????c?x???????????z?x???????x?g???x???Y???X??????????^?g???x???????h??c?????????????o???????????????????????x?g?a?X????c?????x?x?o???x?g???h?Y?Y????poll_receive_fail
[19:39:27.035] 1
[19:39:27.043] poll_receive_fail
[19:39:27.044] 0
[19:39:27.052] poll_receive_fail
[19:39:27.053] 0
[19:39:27.060] poll_receive_fail
[19:39:27.061] 0
[19:39:27.069] poll_receive_fail
[19:39:27.070] 0
[19:39:27.078] poll_receive_fail
[19:39:27.079] 0
[19:39:27.087] poll_receive_fail
[19:39:27.088] 0
[19:39:27.102] final_receive_fail
[19:39:27.103] 0
[19:39:27.110] poll_receive_fail
[19:39:27.111] 0
[19:39:27.118] poll_receive_fail
[19:39:27.120] 0
[19:39:27.127] poll_receive_fail
[19:39:27.128] 0
[19:39:27.136] poll_receive_fail
[19:39:27.138] 0
[19:39:27.145] poll_receive_fail
[19:39:27.145] 0
[19:39:27.153] poll_receive_fail
[19:39:27.154] 0
[19:39:27.164] final_receive_fail
[19:39:27.165] 0
[19:39:27.174] poll_receive_fail
[19:39:27.175] 0
[19:39:27.183] poll_receive_fail
[19:39:27.185] 0
[19:39:27.191] poll_receive_fail
[19:39:27.193] 0
[19:39:27.200] poll_receive_fail
[19:39:27.201] 0
[19:39:27.208] poll_receive_fail
[19:39:27.209] 0
[19:39:27.218] range_confirm_sent
[19:39:27.219] 1
[19:39:27.228] poll_receive_fail
[19:39:27.228] 0
[19:39:27.234] poll_receive_fail
[19:39:27.235] 0
[19:39:27.243] poll_receive_fail
[19:39:27.243] 0
[19:39:27.251] poll_receive_fail
[19:39:27.251] 0
[19:39:27.260] poll_receive_fail
[19:39:27.261] 0
[19:39:27.268] poll_receive_fail
[19:39:27.270] 0
[19:39:27.277] range_confirm_sent
[19:39:27.277] 1
[19:39:27.286] poll_receive_fail
[19:39:27.286] 0
[19:39:27.292] poll_receive_fail
[19:39:27.292] 0
[19:39:27.301] poll_receive_fail
[19:39:27.302] 0
[19:39:27.309] poll_receive_fail
[19:39:27.310] 0
[19:39:27.318] poll_receive_fail
[19:39:27.318] 0
[19:39:27.327] poll_receive_fail
[19:39:27.328] 0
[19:39:27.335] range_confirm_sent
[19:39:27.335] 1
[19:39:27.342] poll_receive_fail
[19:39:27.343] 0
[19:39:27.352] poll_receive_fail
[19:39:27.353] 0
[19:39:27.360] poll_receive_fail
[19:39:27.360] 0
[19:39:27.368] poll_receive_fail
[19:39:27.369] 0
[19:39:27.377] poll_receive_fail
[19:39:27.377] 0
[19:39:27.386] poll_receive_fail
[19:39:27.387] 0
[19:39:27.401] final_receive_fail
[19:39:27.402] 0
[19:39:27.409] poll_receive_fail
[19:39:27.411] 0
[19:39:27.419] poll_receive_fail
[19:39:27.420] 0
[19:39:27.427] poll_receive_fail
[19:39:27.428] 0
[19:39:27.436] poll_receive_fail
[19:39:27.436] 0
[19:39:27.444] poll_receive_fail
[19:39:27.444] 0
[19:39:27.452] poll_receive_fail
[19:39:27.453] 0
[19:39:27.459] range_confirm_sent
[19:39:27.459] 1
[19:39:27.467] poll_receive_fail
[19:39:27.468] 0
[19:39:27.476] poll_receive_fail
[19:39:27.477] 0
[19:39:27.485] poll_receive_fail
[19:39:27.485] 0
[19:39:27.493] poll_receive_fail
[19:39:27.494] 0
[19:39:27.501] poll_receive_fail
[19:39:27.502] 0
[19:39:27.510] poll_receive_fail
[19:39:27.511] 0
[19:39:27.517] range_confirm_sent
[19:39:27.518] 1
[19:39:27.525] poll_receive_fail
[19:39:27.526] 0
[19:39:27.534] poll_receive_fail
[19:39:27.535] 0
[19:39:27.542] poll_receive_fail
[19:39:27.543] 0
[19:39:27.551] poll_receive_fail
[19:39:27.552] 0
[19:39:27.560] poll_receive_fail
[19:39:27.560] 0
[19:39:27.569] poll_receive_fail
[19:39:27.570] 0
[19:39:27.577] poll_receive_fail
[19:39:27.578] 0
[19:39:27.586] poll_receive_fail
[19:39:27.587] 0
[19:39:27.589] poll_receive_fail
[19:39:27.590] 0
[19:39:27.598] poll_receive_fail
[19:39:27.599] 0
[19:39:27.603] poll_receive_fail
[19:39:27.603] 0
[19:39:27.611] poll_receive_fail
[19:39:27.612] 0
[19:39:27.620] poll_receive_fail
[19:39:27.621] 0
[19:39:27.638] final_receive_fail
[19:39:27.638] 0
[19:39:27.645] poll_receive_fail
[19:39:27.647] 0
[19:39:27.655] poll_receive_fail
[19:39:27.655] 0
[19:39:27.663] poll_receive_fail
[19:39:27.664] 0
[19:39:27.672] poll_receive_fail
[19:39:27.672] 0
[19:39:27.681] poll_receive_fail
[19:39:27.681] 0
[19:39:27.689] poll_receive_fail
[19:39:27.690] 0
[19:39:27.701] final_receive_fail
[19:39:27.702] 0
[19:39:27.710] poll_receive_fail
[19:39:27.711] 0
[19:39:27.715] poll_receive_fail
[19:39:27.716] 0
[19:39:27.724] poll_receive_fail
[19:39:27.725] 0
[19:39:27.732] poll_receive_fail
[19:39:27.733] 0
[19:39:27.740] poll_receive_fail
[19:39:27.740] 0
[19:39:27.748] poll_receive_fail
[19:39:27.748] 0
[19:39:27.755] final_receive_fail
[19:39:27.757] 0
[19:39:27.764] poll_receive_fail
[19:39:27.765] 0
[19:39:27.773] poll_receive_fail
[19:39:27.774] 0
[19:39:27.782] poll_receive_fail
[19:39:27.784] 0
[19:39:27.790] poll_receive_fail
[19:39:27.791] 0
[19:39:27.799] poll_receive_fail
[19:39:27.800] 0
